Transaction ID,Transaction Date,Customer First Name,Customer Last Name,Gender,Age,Province,City,Brand,Segment,Brand Category,Price,Qty Item,Total Amount,Rating,Returned
XAJI0Y6DPB,2022-12-15,Danielle,Johnson,Female,25,Rizal,Cainta,Nike,Women,Lingerie & Lounge wear,1103,3,3309,Satisfactory,No
ZZPQK51FPK,2023-04-10,Joshua,Walker,Female,20,Pangasinan,Mangaldan,Nike,Men,T-Shirts,1289,9,11601,Satisfactory,No
D4V30T9NT3,2021-10-04,Jill,Rhodes,Female,27,Pangasinan,Mangaldan,H&M,Women,Skirts,971,1,971,Very Satisfactory,No
BIKCIDKWNN,2022-07-07,Patricia,Miller,Female,31,Laguna,Santa Rosa,Lee,Men,T-Shirts,1075,3,3225,Outstanding,No
TIQJ7YHL1C,2023-11-03,Robert,Johnson,Male,26,Pangasinan,Mangaldan,Uniqlo,Men,Jeans,967,9,8703,Outstanding,No
H75LXO6QJI,2022-02-22,Jeffery,Wagner,Female,21,Laguna,Santa Rosa,H&M,Men,Pants,1497,1,1497,Outstanding,No
OH9SDBDW2P,2021-03-22,Anthony,Gonzalez,Female,25,Batangas,Tanauan,Uniqlo,Kids,Jeans,1157,2,2314,Very Satisfactory,No
84AZYTJXEP,2021-07-10,Debra,Gardner,Female,37,Bulacan,San Jose del Monte,Puma,Kids,Jeans,1082,9,9738,Outstanding,No
SDW4SHNF87,2022-08-03,Jeffrey,Lawrence,Male,31,Rizal,Taytay,Uniqlo,Women,Tops,1014,2,2028,Very Satisfactory,No
753LC58DRC,2023-08-05,Lisa,Smith,Male,21,Pangasinan,Urdaneta,Adidas,Men,Shorts,1462,1,1462,Unsatisfactory,No
FSV871YZOY,2023-05-16,Linda,Wolfe,Female,20,Rizal,Taytay,Nike,Men,Outwear,1130,6,6780,Outstanding,No
CATVAZCCBL,2020-08-18,Matthew,Moore,Female,29,Laguna,Santa Rosa,Uniqlo,Kids,Hoodies & Sweatshirts,1452,2,2904,Satisfactory,No
E7UR23GDPP,2022-03-03,Susan,Rogers,Female,20,Bulacan,Malolos,Lee,Women,Dresses,962,3,2886,Very Satisfactory,No
OM5IGQPKI7,2021-05-11,Christopher,Davis,Female,35,Pangasinan,San Carlos,Nike,Men,Shirts,1453,3,4359,Very Satisfactory,No
4874FRHOCN,2022-02-11,Melanie,Munoz,Male,28,Laguna,San Pedro,Puma,Men,Pants,1469,1,1469,Very Satisfactory,No
XRGHC0CLBR,2024-05-30,Lindsay,Blair,Male,32,Rizal,Antipolo,Nike,Women,Lingerie & Lounge wear,982,3,2946,Very Satisfactory,No
4CC5O7UUBC,2021-03-07,Amanda,Dudley,Female,31,Rizal,Cainta,Puma,Women,Pants,1109,9,9981,Outstanding,No
YLJEXQ77AW,2022-12-14,Nicholas,Arnold,Female,31,Metro Manila,Makati,H&M,Men,Outwear,1418,2,2836,Poor,Yes
J755NF4ZW9,2022-07-17,Maria,Montgomery,Female,26,Metro Manila,Quezon City,Puma,Women,Dresses,1037,5,5185,Very Satisfactory,No
J60FKHMY4S,2024-04-27,Michelle,Ray,Female,25,Pangasinan,Dagupan,Nike,Women,Jeans,1183,1,1183,Satisfactory,No
BME9FPZUE8,2021-10-22,Janet,Williams,Male,26,Cavite,Imus,Nike,Men,Hoodies & Sweatshirts,1496,10,14960,Very Satisfactory,No
TPBN78BMYY,2023-02-23,Jeremy,Roberts,Female,25,Rizal,Taytay,H&M,Kids,Underwear,1058,2,2116,Very Satisfactory,No
7IF2GOG72O,2023-07-17,Christopher,Hall,Female,21,Bulacan,Malolos,Puma,Men,Polos,1010,1,1010,Outstanding,No
NBQH7M35IX,2022-04-08,Craig,Ramirez,Female,28,Laguna,Calamba,Gap,Kids,Jacket & Coats,1259,4,5036,Very Satisfactory,No
XO9T7E8G8J,2021-12-15,Cynthia,Diaz,Female,37,Batangas,Lipa,Lee,Women,Leggings,1346,3,4038,Outstanding,No
VSNUJZA7TZ,2022-07-18,Mitchell,Clark,Male,18,Bulacan,Malolos,Puma,Women,Jeans,971,1,971,Outstanding,No
87WXE6SYLZ,2023-05-31,Joseph,Zuniga,Female,27,Cavite,Dasmariñas,Lee,Men,Pants,1078,2,2156,Outstanding,No
WKTAKPUXQP,2023-01-02,Deborah,Lynch,Female,46,Batangas,Tanauan,Adidas,Kids,Sleepwear,986,1,986,Very Satisfactory,No
KXWD8IL3FB,2023-07-27,George,Daniel,Male,41,Rizal,Antipolo,Uniqlo,Women,Jeans,1489,10,14890,Outstanding,No
GZRIXA11DP,2024-04-13,Frank,Gray,Female,28,Bulacan,San Jose del Monte,Uniqlo,Women,Tops,1470,8,11760,Poor,Yes
I4Q2Y9V86W,2023-11-06,Veronica,Bowman,Male,30,Rizal,Taytay,Gap,Men,Underwear & Lounge wear,1356,4,5424,Very Satisfactory,No
60RJIW1SWJ,2021-05-15,Angela,Cohen,Female,33,Laguna,Calamba,Puma,Women,Leggings,1227,3,3681,Very Satisfactory,No
6CFNFHOLQC,2022-06-07,Megan,Parsons,Male,44,Batangas,Tanauan,Lee,Kids,Tops,1489,2,2978,Very Satisfactory,No
NAM148P0TV,2023-11-13,Jeremy,Johnson,Female,29,Cavite,Dasmariñas,Uniqlo,Men,Shorts,929,1,929,Outstanding,No
NY20479T6V,2023-02-15,Leslie,Adams,Female,36,Metro Manila,Manila,Adidas,Women,Jacket & Coats,1086,8,8688,Very Satisfactory,No
BNHL1N13JC,2024-04-08,Jason,Hahn,Female,45,Rizal,Antipolo,Puma,Men,Outwear,970,3,2910,Very Satisfactory,No
2X18HAFEYU,2023-01-18,Nancy,Edwards,Female,32,Bulacan,Meycauayan,Gap,Kids,Dresses,1071,9,9639,Satisfactory,No
V8Z2FLU7U6,2023-12-08,Diana,Foster,Female,32,Bulacan,Malolos,Nike,Women,Skirts,1004,8,8032,Outstanding,No
ZKY22UBTXC,2021-09-03,Robin,Ellis,Female,30,Metro Manila,Manila,Gap,Men,Shorts,1008,2,2016,Outstanding,No
PN6QFGSXW7,2024-05-14,Joseph,Wright,Male,30,Batangas,Lipa,Gap,Men,Jeans,1230,2,2460,Outstanding,No
43D5IQVNB4,2024-08-02,Anna,Baker,Female,19,Cavite,Dasmariñas,Gap,Men,Jeans,1248,2,2496,Very Satisfactory,No
KV5USGIOTI,2021-07-09,Brenda,Hurst,Female,19,Bulacan,Meycauayan,Uniqlo,Kids,Tops,995,2,1990,Outstanding,No
KOIXNTM9TM,2022-04-11,Reginald,Robinson,Female,30,Laguna,San Pedro,Adidas,Men,T-Shirts,1097,10,10970,Unsatisfactory,Yes
L08YG0JV1V,2023-02-16,Whitney,Hicks,Male,33,Pangasinan,Urdaneta,Puma,Women,Skirts,1269,9,11421,Very Satisfactory,No
GATJ9TZE5R,2024-03-03,Christopher,Williams,Male,27,Rizal,Taytay,Uniqlo,Men,Shorts,1351,1,1351,Unsatisfactory,Yes
M8J5ECRUYF,2023-05-09,Daniel,Burton,Male,18,Laguna,Calamba,Adidas,Men,T-Shirts,1471,2,2942,Outstanding,No
1V2ISQP49K,2023-09-29,Laura,Henderson,Female,33,Rizal,Cainta,Nike,Women,Skirts,1116,3,3348,Unsatisfactory,Yes
JCITFOYQBK,2021-03-27,Bryan,James,Female,23,Pangasinan,San Fabian,Nike,Men,Outwear,1170,2,2340,Outstanding,No
2WX7PTX63C,2023-07-23,Wendy,Rice,Female,19,Laguna,Santa Rosa,Lee,Women,Pants,1349,1,1349,Very Satisfactory,No
EYZ7SRCBPL,2023-09-07,Tasha,Valencia,Female,30,Metro Manila,Taguig,Lee,Kids,Shorts,921,2,1842,Very Satisfactory,No
9YJB1QX6GV,2023-09-14,Alexander,Le,Female,30,Batangas,Batangas City,Uniqlo,Men,Hoodies & Sweatshirts,1318,3,3954,Outstanding,No
LY4LYK83TQ,2024-06-08,Erin,Herrera,Female,49,Laguna,Calamba,Gap,Women,Jeans,1426,1,1426,Very Satisfactory,No
3A5QBSWRPB,2023-04-11,Joseph,Davidson,Female,26,Cavite,Dasmariñas,Uniqlo,Kids,Underwear,1396,8,11168,Unsatisfactory,Yes
E9VIFTTD96,2020-08-29,Daniel,Graham,Female,26,Metro Manila,Taguig,Uniqlo,Women,Pants,1421,2,2842,Poor,No
ZORQQFGV0E,2022-07-15,Shawn,Mckay,Female,27,Pangasinan,San Fabian,Puma,Women,Lingerie & Lounge wear,1173,8,9384,Outstanding,No
3KKV9RFTMT,2022-12-23,Nancy,Baker,Female,41,Batangas,Lipa,Gap,Women,Skirts,1144,7,8008,Very Satisfactory,No
UI1B0Z3NX3,2023-06-01,Vincent,White,Male,41,Batangas,Batangas City,Adidas,Kids,Jeans,1239,1,1239,Outstanding,No
55PSQ0OXFQ,2021-10-13,Rita,Harrell,Male,39,Laguna,Santa Rosa,Lee,Women,Jeans,982,1,982,Outstanding,No
444NLZ15BC,2022-08-21,Kenneth,Fowler,Female,34,Laguna,Calamba,Lee,Men,T-Shirts,1344,10,13440,Very Satisfactory,No
91ZDFKBLCM,2020-03-09,Chelsea,Hernandez,Female,18,Cavite,Imus,Uniqlo,Women,Shorts,1074,1,1074,Outstanding,No
GVNYRUIWQY,2024-04-18,Kathryn,Ryan,Male,48,Batangas,Lipa,Lee,Kids,Jeans,1061,3,3183,Outstanding,No
C89K8YQK94,2022-05-26,Kimberly,Moreno,Female,50,Batangas,Tanauan,Puma,Women,Pants,1202,1,1202,Outstanding,No
A3OA529603,2022-06-17,Aaron,Nguyen,Male,19,Pangasinan,Urdaneta,H&M,Women,Leggings,1124,1,1124,Unsatisfactory,No
WWYZX4W6XL,2022-11-17,Andrew,Hickman,Female,34,Rizal,Taytay,Lee,Kids,Polos,992,9,8928,Outstanding,No
6LOH25NSJF,2023-12-30,Natasha,Decker,Male,28,Batangas,Lipa,Lee,Men,Hoodies & Sweatshirts,1017,2,2034,Very Satisfactory,No
QC1IYYO4UD,2020-08-07,Kyle,Brown,Female,29,Laguna,Santa Rosa,Nike,Men,Shorts,1277,1,1277,Outstanding,No
YYV37DIA5U,2023-12-14,Natalie,Arroyo,Male,42,Cavite,Imus,Nike,Men,Shorts,1209,1,1209,Outstanding,No
XEBB9EITNN,2020-06-08,Christopher,Tucker,Male,32,Bulacan,San Jose del Monte,Uniqlo,Kids,Shorts,1058,3,3174,Outstanding,No
5X4W7KYHQI,2022-05-27,Chad,Hodges,Female,43,Bulacan,Meycauayan,H&M,Men,Hoodies & Sweatshirts,962,3,2886,Very Satisfactory,No
OGE4QXXVA2,2023-09-16,Katie,Anderson,Female,34,Cavite,Imus,Adidas,Kids,Shirts,1467,9,13203,Very Satisfactory,No
HH5LF6A4FE,2023-01-08,Thomas,Pierce,Female,21,Cavite,Bacoor,Lee,Women,Tops,1034,2,2068,Very Satisfactory,No
A2ILGB0S0R,2022-08-16,Joseph,Brennan,Male,47,Rizal,Cainta,Nike,Men,Shorts,1415,1,1415,Outstanding,No
HW06XKXB94,2023-02-15,Rodney,Lewis,Female,23,Metro Manila,Manila,Lee,Kids,Leggings,975,6,5850,Outstanding,No
6LFEWVZNVK,2020-10-12,Amber,Blair,Female,38,Batangas,Batangas City,Gap,Men,T-Shirts,1464,2,2928,Outstanding,No
ZHQIMQODPX,2024-06-25,James,Collins,Female,27,Cavite,Imus,Uniqlo,Women,Dresses,993,10,9930,Very Satisfactory,No
3DD03UVULE,2020-04-14,Wanda,Santos,Female,26,Bulacan,Meycauayan,Gap,Men,Shirts,1194,1,1194,Very Satisfactory,No
VMUHXID4N1,2023-09-16,Samuel,Holmes,Female,30,Pangasinan,San Fabian,Gap,Women,Lingerie & Lounge wear,1470,6,8820,Satisfactory,No
A73JGZLMA5,2023-01-01,David,Walker,Female,45,Batangas,Batangas City,Adidas,Men,Shirts,993,2,1986,Very Satisfactory,No
0HPMNZ1UDB,2021-06-03,Matthew,Chapman,Female,31,Rizal,Antipolo,Lee,Women,Dresses,1178,1,1178,Very Satisfactory,No
PPVOHSMDYV,2023-08-10,Jerry,Robinson,Female,34,Laguna,Calamba,Adidas,Men,Pants,956,3,2868,Outstanding,No
AKHEJLA0GN,2023-03-16,Chad,Welch,Male,23,Rizal,Cainta,Gap,Women,Leggings,973,9,8757,Very Satisfactory,No
O0PQCLPOXK,2022-12-13,Jeremy,Whitehead,Female,19,Laguna,Calamba,Gap,Women,Jacket & Coats,1270,3,3810,Very Satisfactory,No
D4IVSOLMLG,2023-02-20,Michele,Jones,Female,30,Metro Manila,Quezon City,H&M,Men,Outwear,1257,9,11313,Outstanding,No
M8XFDJGF1C,2020-03-09,John,Caldwell,Male,46,Bulacan,Meycauayan,Uniqlo,Women,Jacket & Coats,1478,3,4434,Satisfactory,No
X9L8LPQW2V,2020-09-05,Jason,Anderson,Female,33,Metro Manila,Pasig,Uniqlo,Men,Shorts,938,1,938,Outstanding,No
C3C54WSQT2,2023-04-03,Selena,Duncan,Male,44,Batangas,Tanauan,Lee,Men,Outwear,1229,2,2458,Satisfactory,No
VS8Q349DXB,2020-01-01,Thomas,Mueller,Male,29,Batangas,Tanauan,H&M,Men,Polos,1272,2,2544,Very Satisfactory,No
NKOMV2XCDY,2022-10-09,Lindsey,Lee,Female,34,Bulacan,San Jose del Monte,H&M,Women,Shorts,1241,3,3723,Outstanding,No
CX7LXXEZDU,2020-01-26,Collin,Jordan,Female,41,Laguna,Calamba,Lee,Women,Lingerie & Lounge wear,995,3,2985,Very Satisfactory,No
XPNNGH8RIE,2024-01-14,Rodney,Owens,Female,32,Pangasinan,Dagupan,H&M,Women,Lingerie & Lounge wear,1439,5,7195,Unsatisfactory,Yes
BM1ENF313F,2023-04-21,Jessica,Nunez,Female,36,Batangas,Lipa,Lee,Women,Skirts,1354,2,2708,Very Satisfactory,No
V12II826GY,2022-07-11,Tracey,Garcia,Female,22,Batangas,Lipa,Gap,Men,Jeans,1291,1,1291,Satisfactory,No
SPFHV5BRN7,2022-10-27,Richard,Morgan,Male,22,Rizal,Antipolo,Puma,Women,Dresses,1064,3,3192,Very Satisfactory,No
J6FP8HQMAB,2023-08-16,Michelle,Wright,Female,27,Cavite,Dasmariñas,Nike,Women,Leggings,1129,3,3387,Very Satisfactory,No
B74X2EK3ZE,2022-06-29,James,West,Male,27,Batangas,Tanauan,Nike,Men,T-Shirts,919,2,1838,Very Satisfactory,No
J4T0SEKKBP,2021-05-30,Robert,Ramirez,Male,23,Batangas,Batangas City,Nike,Men,Shorts,1448,3,4344,Unsatisfactory,No
ASIFPWIOXD,2020-05-16,John,Leblanc,Male,20,Metro Manila,Quezon City,H&M,Men,Underwear & Lounge wear,1419,7,9933,Satisfactory,No
TOQW9JA2M0,2022-08-08,Scott,Callahan,Female,40,Pangasinan,San Carlos,Lee,Kids,Dresses,1036,2,2072,Outstanding,No
BT3G2QZW3C,2024-03-19,Andrea,Williams,Male,27,Batangas,Batangas City,Puma,Men,Outwear,944,5,4720,Outstanding,No
25LLO3RBXK,2023-07-31,Yvette,Huff,Male,26,Metro Manila,Pasig,Puma,Women,Dresses,1276,5,6380,Very Satisfactory,No
POP8MGYN2J,2023-05-19,Tanya,House,Female,44,Batangas,Batangas City,Uniqlo,Men,Polos,1458,2,2916,Very Satisfactory,No
KDLKQZFPQ0,2023-01-13,Melinda,Martin,Male,29,Rizal,Taytay,Puma,Men,Shirts,976,4,3904,Satisfactory,No
YOS0FB4YPE,2023-02-07,Todd,Lewis,Female,31,Bulacan,Meycauayan,Puma,Men,Pants,1480,9,13320,Satisfactory,No
BFQNPCENLK,2023-05-17,Richard,Brown,Male,20,Metro Manila,Taguig,Uniqlo,Men,Underwear & Lounge wear,1296,5,6480,Unsatisfactory,No
6E1ZHWY9HE,2024-01-14,Nicholas,Galloway,Female,36,Cavite,Imus,Uniqlo,Men,T-Shirts,1227,6,7362,Very Satisfactory,No
YZTKKFZZGN,2024-03-29,Joseph,Bowers,Female,34,Cavite,Bacoor,Adidas,Women,Jacket & Coats,926,2,1852,Outstanding,No
MUQ9E5COZR,2023-12-19,Spencer,Henderson,Female,32,Batangas,Tanauan,Nike,Women,Shorts,1224,3,3672,Very Satisfactory,No
XQYM52XG8P,2023-04-14,Susan,Cowan,Male,24,Metro Manila,Makati,H&M,Men,Polos,1211,10,12110,Outstanding,No
FLZM764JWT,2023-01-15,Angela,Higgins,Female,34,Laguna,Santa Rosa,H&M,Women,Dresses,1414,8,11312,Satisfactory,No
XVUGW6M7B5,2022-10-16,Eric,Phillips,Female,23,Bulacan,San Jose del Monte,Puma,Women,Skirts,1485,2,2970,Very Satisfactory,No
OXRWK8R2YK,2024-06-07,Tanya,Riley,Female,30,Metro Manila,Taguig,Uniqlo,Men,Pants,1395,1,1395,Very Satisfactory,No
QMF5L9MO1S,2023-11-20,Amy,Adkins,Female,27,Cavite,Dasmariñas,Nike,Men,Jeans,1360,2,2720,Satisfactory,No
IDKNWI5FLU,2022-01-11,Brian,Silva,Female,49,Pangasinan,Urdaneta,Uniqlo,Women,Lingerie & Lounge wear,1378,3,4134,Very Satisfactory,No
RLA8S8HMBR,2023-08-06,Wesley,Farrell,Male,31,Bulacan,San Jose del Monte,Uniqlo,Men,Jeans,1449,3,4347,Outstanding,No
ADEJNOBBUN,2023-11-20,Eric,Yu,Female,38,Batangas,Tanauan,Uniqlo,Kids,Jeans,1186,3,3558,Very Satisfactory,No
3WVEDN9UNF,2022-01-29,Christopher,Lopez,Female,18,Batangas,Tanauan,Nike,Kids,Tops,939,2,1878,Satisfactory,No
ELRQVSLWF9,2021-07-01,Brooke,Leonard,Male,34,Laguna,Santa Rosa,Puma,Kids,Jeans,1421,3,4263,Very Satisfactory,No
TZK3NY9V20,2020-05-16,Joe,Wilson,Male,18,Metro Manila,Quezon City,Uniqlo,Men,Jeans,1492,3,4476,Very Satisfactory,No
UZVGWW4FYB,2024-02-07,Pamela,Sanchez,Male,27,Metro Manila,Taguig,Nike,Women,Jacket & Coats,1221,10,12210,Unsatisfactory,No
POHSWQ40ZS,2021-01-25,Brooke,Harvey,Female,31,Bulacan,Meycauayan,H&M,Men,Pants,1221,1,1221,Very Satisfactory,No
8QTTY5Y2JR,2023-06-05,Robert,Silva,Male,18,Laguna,Santa Rosa,Puma,Men,Outwear,1204,8,9632,Very Satisfactory,No
1ZYRRU7ZKU,2024-03-03,Alexandra,Donovan,Female,42,Batangas,Lipa,Gap,Men,Polos,1197,2,2394,Outstanding,No
B8C7X0H3JU,2021-07-30,James,Moran,Female,31,Metro Manila,Quezon City,Lee,Men,Outwear,1148,2,2296,Outstanding,No
B6IIDLRYE8,2023-09-14,John,Foster,Male,40,Cavite,Dasmariñas,Lee,Women,Jacket & Coats,1388,1,1388,Very Satisfactory,No
X1KKC1XI04,2023-11-15,Emily,Evans,Female,25,Cavite,Dasmariñas,Gap,Kids,Polos,937,9,8433,Very Satisfactory,No
9OR7875AUD,2023-03-28,Leslie,Walton,Male,43,Laguna,San Pedro,Lee,Kids,Jeans,1436,1,1436,Satisfactory,No
R74QGEFQJG,2021-09-12,Charles,Ellis,Male,23,Pangasinan,Mangaldan,H&M,Men,Outwear,1079,3,3237,Outstanding,No
VWOPLOD9R7,2021-10-18,Yolanda,Ferrell,Female,23,Batangas,Batangas City,Uniqlo,Women,Pants,1237,7,8659,Very Satisfactory,No
K0AXYCELOS,2023-08-11,Charles,Lewis,Male,19,Bulacan,Meycauayan,Lee,Men,T-Shirts,1202,3,3606,Outstanding,No
NH8RQ9NZ61,2021-02-05,Joseph,Mahoney,Male,27,Pangasinan,Urdaneta,Gap,Kids,Hoodies & Sweatshirts,983,7,6881,Very Satisfactory,No
STN7E36HTF,2024-07-13,Nicole,Suarez,Male,29,Batangas,Batangas City,Lee,Kids,Hoodies & Sweatshirts,1497,2,2994,Very Satisfactory,No
R6QCEOUUYL,2024-04-08,Mike,Moore,Female,47,Laguna,Calamba,Lee,Women,Skirts,1492,2,2984,Very Satisfactory,No
CPZTC69QKG,2024-05-07,Martha,Warner,Female,19,Bulacan,San Jose del Monte,Lee,Men,Pants,1283,2,2566,Very Satisfactory,No
9N56NYXTXM,2022-09-03,Cheryl,Archer,Female,31,Rizal,Taytay,H&M,Kids,Polos,1128,1,1128,Outstanding,No
419QZPNIQF,2023-11-22,Destiny,Smith,Female,38,Bulacan,Malolos,Nike,Kids,Sleepwear,1329,2,2658,Very Satisfactory,No
W76ICVQY5I,2023-03-17,Lisa,Evans,Female,19,Batangas,Batangas City,H&M,Men,Outwear,957,3,2871,Outstanding,No
F9I6UU13I5,2023-09-25,Elizabeth,Mcmillan,Male,30,Rizal,Antipolo,Uniqlo,Men,Jeans,1181,9,10629,Very Satisfactory,No
C856WPR97Y,2023-02-15,Dennis,Wilson,Male,21,Laguna,Santa Rosa,Uniqlo,Kids,Pants,1052,1,1052,Very Satisfactory,No
KGTII4FQCO,2021-05-29,Daniel,Tran,Female,36,Rizal,Antipolo,Uniqlo,Women,Skirts,1161,6,6966,Very Satisfactory,No
HX74D0GJYV,2024-02-24,Joseph,Jacobs,Male,31,Cavite,Imus,Lee,Men,Underwear & Lounge wear,1122,2,2244,Unsatisfactory,Yes
R5L8A78E9R,2023-12-03,Jennifer,Harris,Female,30,Rizal,Cainta,Adidas,Men,Pants,1145,2,2290,Satisfactory,No
T1NTMJSRD9,2020-01-17,Cynthia,Baker,Female,30,Pangasinan,Mangaldan,Adidas,Women,Leggings,1220,3,3660,Unsatisfactory,Yes
OUHFJ7UPFL,2020-04-11,Tracy,Whitehead,Female,28,Pangasinan,Urdaneta,Uniqlo,Women,Lingerie & Lounge wear,1245,4,4980,Satisfactory,No
J38XRG2GZR,2024-02-24,Meghan,Davis,Male,29,Rizal,Cainta,Nike,Women,Lingerie & Lounge wear,934,10,9340,Outstanding,No
4C3BAEWCFH,2023-07-17,Rodney,Hill,Female,43,Metro Manila,Quezon City,Lee,Women,Jacket & Coats,1399,2,2798,Unsatisfactory,No
ATOAZTKSZP,2020-01-16,Adam,Wise,Male,40,Cavite,Bacoor,Nike,Women,Lingerie & Lounge wear,1052,3,3156,Unsatisfactory,No
IWJM2C8QIZ,2022-06-25,Dana,Green,Female,20,Pangasinan,Dagupan,Lee,Kids,Sleepwear,932,2,1864,Unsatisfactory,Yes
DNTCAGRP2U,2023-04-13,Joyce,Arnold,Male,24,Metro Manila,Quezon City,Nike,Men,Outwear,1116,1,1116,Unsatisfactory,No
6YUJ7YKTXG,2022-07-02,Ronald,Smith,Male,32,Metro Manila,Taguig,H&M,Men,Polos,1307,1,1307,Outstanding,No
7KUU4YTN02,2023-06-10,Charles,Ware,Male,35,Metro Manila,Quezon City,Lee,Kids,Dresses,954,3,2862,Outstanding,No
DICVWV8LW2,2020-09-03,Rebecca,Gardner,Female,19,Cavite,Dasmariñas,H&M,Kids,Pants,1342,6,8052,Poor,Yes
GVN1KICJN2,2020-11-13,Mary,Aguilar,Female,26,Batangas,Lipa,Puma,Women,Dresses,993,1,993,Outstanding,No
ALMJEGQTOA,2022-12-25,Earl,Anderson,Female,26,Metro Manila,Quezon City,H&M,Men,Hoodies & Sweatshirts,1294,2,2588,Very Satisfactory,No
AO20U9ISYG,2024-05-25,Kyle,Nolan,Female,18,Laguna,San Pedro,Adidas,Men,T-Shirts,1071,10,10710,Very Satisfactory,No
PPRCJIWVHD,2022-12-10,Laura,Valencia,Female,20,Batangas,Lipa,Gap,Kids,Shorts,1289,6,7734,Very Satisfactory,No
2LM349EL8H,2024-03-03,Rachel,Clark,Female,43,Batangas,Lipa,Puma,Men,Shorts,1489,10,14890,Very Satisfactory,No
2LK2N7H9G1,2024-02-23,John,Garcia,Female,30,Bulacan,Meycauayan,Lee,Men,Outwear,1348,1,1348,Satisfactory,No
23C42YFKJF,2021-09-16,Kimberly,Henson,Female,38,Batangas,Batangas City,Uniqlo,Men,Shorts,1496,8,11968,Very Satisfactory,No
OS7YT2M6TW,2023-08-29,Richard,Oliver,Female,19,Pangasinan,Urdaneta,Lee,Women,Leggings,1070,1,1070,Satisfactory,No
XB9YO18PAJ,2024-01-13,Eric,Spears,Female,24,Rizal,Cainta,H&M,Men,Outwear,1356,8,10848,Satisfactory,No
NQYYF9RK7D,2024-03-07,Michelle,Cherry,Male,22,Bulacan,Malolos,Puma,Kids,Jacket & Coats,1251,9,11259,Outstanding,No
QHRRPZLK3E,2023-09-18,Lisa,Keith,Male,27,Bulacan,Malolos,Lee,Women,Shorts,1149,3,3447,Outstanding,No
STLPQ2WGXO,2023-02-06,Angel,Doyle,Male,22,Cavite,Dasmariñas,H&M,Women,Jeans,1298,9,11682,Very Satisfactory,No
AHKZ2U2TNH,2023-12-15,Martin,Galvan,Female,36,Bulacan,Meycauayan,H&M,Men,Hoodies & Sweatshirts,1297,3,3891,Outstanding,No
WVM4W3ZKWD,2023-08-04,Leah,Shields,Female,41,Metro Manila,Taguig,Puma,Men,T-Shirts,1087,1,1087,Very Satisfactory,No
NFNVUPRT77,2021-06-30,Lisa,Adams,Female,32,Cavite,Dasmariñas,Puma,Women,Shorts,1091,1,1091,Outstanding,No
LQBMAE38SR,2024-01-31,Kristin,Rodriguez,Male,35,Batangas,Tanauan,Gap,Kids,Leggings,1400,3,4200,Satisfactory,No
GU2HBIK2U1,2024-07-24,Monica,Garrison,Female,37,Rizal,Antipolo,H&M,Men,T-Shirts,1174,2,2348,Very Satisfactory,No
13N3BZT9D3,2023-12-26,Jeffrey,Velasquez,Male,21,Laguna,Calamba,Uniqlo,Men,Jeans,1256,7,8792,Satisfactory,No
5D5E3H0Y4V,2023-03-15,Steven,Torres,Female,27,Rizal,Antipolo,Gap,Women,Skirts,1111,2,2222,Outstanding,No
2UTVG9KU8S,2024-05-27,Laura,Perez,Male,27,Pangasinan,Dagupan,Adidas,Kids,Pants,960,2,1920,Outstanding,No
95E5IZ31YR,2023-01-22,Andrew,Lee,Female,28,Laguna,Santa Rosa,Uniqlo,Kids,Pants,1362,10,13620,Outstanding,No
C21O0Z5QRU,2023-08-15,Mark,Lin,Male,29,Pangasinan,Dagupan,Lee,Men,Shorts,1266,2,2532,Very Satisfactory,No
42O83RLKTE,2024-07-21,Tammy,Ramirez,Male,27,Pangasinan,Mangaldan,Lee,Men,Shirts,947,1,947,Satisfactory,No
D2QE4PA8HY,2024-01-15,Darlene,Ross,Female,38,Bulacan,Meycauayan,Adidas,Men,Jeans,995,6,5970,Outstanding,No
XJN6FOKZIX,2023-01-27,Tina,Herrera,Male,39,Metro Manila,Taguig,Uniqlo,Men,T-Shirts,1035,1,1035,Outstanding,No
VSQAME4YRI,2024-03-24,Sheila,Wilson,Female,26,Pangasinan,Dagupan,Nike,Women,Leggings,1276,2,2552,Outstanding,No
